text,label
Bitcoin spot ETF records strong net inflows for the fourth straight week,bullish
Major asset manager expands BTC exposure after client demand surges,bullish
On-chain data shows long-term holders accumulating aggressively,bullish
Ethereum upgrade cuts L2 costs and activity jumps sharply,bullish
Exchange launches institutional custody and trading volumes rise,bullish
Stablecoin supply expands as risk appetite returns,bullish
Fed signals imminent easing and crypto markets rally,bullish
DeFi total value locked climbs to a fresh yearly high,bullish
Market makers report improving liquidity and tighter spreads,bullish
MicroStrategy adds to treasury after breakout above resistance,bullish
Solana ecosystem sees record active wallets and developer growth,bullish
Futures funding turns positive with spot demand leading,bullish
Regulatory approval clears the path for a new spot ETF,bullish
Bitcoin hash rate and miner revenue recover after halving,bullish
A major bank launches digital asset services for wealthy clients,bullish
Large whale wallets accumulate while exchange balances fall,bullish
Bitcoin breaks a multi-week downtrend as macro tailwinds improve,bullish
Risk sentiment improves and crypto leads the market rebound,bullish
Spot ETF approval triggers new institutional allocation demand,bullish
Exchange reports record customer deposits and active accounts,bullish
Protocol revenue rises while fees fall after the latest upgrade,bullish
The treasury continues buying Bitcoin during price consolidation,bullish
Developer activity accelerates as the network launches a scaling upgrade,bullish
Market breadth improves and altcoins outperform on strong inflows,bullish
Spot ETF outflows accelerate as investors rotate out of crypto,bearish
SEC files enforcement action against a major exchange,bearish
A major protocol is hacked and funds are drained,bearish
Exchange suspends withdrawals after a liquidity crunch,bearish
DXY surges and Treasury yields jump, pressuring risk assets,bearish
Fed keeps rates higher for longer and markets reprice lower,bearish
Miner selling intensifies as revenue drops after halving,bearish
Liquidation cascade hits leveraged traders across derivatives markets,bearish
Stablecoin depeg fears spark risk-off sentiment,bearish
Network outage delays transactions and damages confidence,bearish
Regulatory uncertainty returns after a surprise legal challenge,bearish
Trading volume collapses and open interest falls sharply,bearish
Large holders move coins to exchanges ahead of potential selling,bearish
Capital outflows from crypto funds hit a multi-month high,bearish
Inflation prints above expectations and risk assets sell off,bearish
Exchange-linked token plunges after rumors of insolvency,bearish
DeFi TVL contracts while users withdraw liquidity,bearish
Another security vulnerability is discovered in a bridge contract,bearish
Bitcoin trades sideways as investors wait for CPI data,neutral
Market participants await the next Fed decision,neutral
A major exchange publishes its quarterly transparency report,neutral
The protocol team shares a roadmap for the next upgrade,neutral
On-chain activity remains broadly unchanged week over week,neutral
Analysts note mixed signals from futures and spot markets,neutral
Traders are split on whether the breakout will hold,neutral
The network completed routine maintenance without disruption,neutral
Daily active addresses remain steady and volumes are flat,neutral
The company confirms a product launch date for later this quarter,neutral
New governance proposal is under discussion in the DAO,neutral
Market breadth remains balanced across major assets,neutral
The asset continues to consolidate near the same range,neutral
Research note reviews sector trends without giving a rating,neutral
Developers publish a technical update on scaling progress,neutral
Funding rates normalize after the previous volatile session,neutral
A scheduled token unlock is expected next month,neutral
Data shows no clear directional bias in the last 24 hours,neutral
ETF issuer reports second week of outflows while price remains flat,bearish
Order book depth thins during US session and slippage increases,bearish
Open interest rises but spot volume fades, suggesting fragile momentum,bearish
Funding stays positive while basis compresses and demand weakens,bearish
Options desk notes growing downside hedging into monthly expiry,bearish
Whale deposits to exchanges increase despite stable spot price,bearish
Large miner wallets distribute inventory into intraday strength,bearish
Perpetual longs are crowded with declining taker buy pressure,bearish
Macro data surprises to the upside and real yields move higher,bearish
Dollar strength returns as global risk appetite deteriorates,bearish
Treasury auction tail widens and risk assets underperform,bearish
Credit spreads widen as investors cut exposure to high beta assets,bearish
Protocol TVL appears stable but net new deposits turn negative,bearish
Bridge activity declines sharply after security concerns resurface,bearish
Stablecoin minting slows while redemption activity accelerates,bearish
Exchange reserve trend reverses and sell-side liquidity builds,bearish
Large unlock approaches with weak bid support in spot market,bearish
Governance dispute delays key upgrade and confidence softens,bearish
Regulator requests additional disclosures for pending ETF filing,bearish
A major market maker reduces quotes during volatility spike,bearish
Cross-exchange basis turns inconsistent as arbitrage capital retreats,bearish
Active addresses rise but transaction value drops across the network,bearish
Futures curve flattens as traders shift to defensive positioning,bearish
Risk parity desks reduce crypto allocation after volatility jump,bearish
Post-rally consolidation breaks lower on rising sell volume,bearish
Liquidity providers widen spreads after repeated liquidation events,bearish
Institutional desk reports more sell interest than buy interest,bearish
Treasury cash balance rebuild raises concern for tighter liquidity,bearish
Short-term holders move coins on-chain at a loss,bearish
Options skew shifts further negative ahead of macro event,bearish
ETF inflows stall while secondary market sell pressure persists,bearish
Bitcoin fails to reclaim resistance after a weak bounce,bearish
Long liquidation risk rises as funding stays elevated,bearish
Spot bid depth dries up during the Asia session,bearish
Miner wallets send more coins to exchanges than usual,bearish
Stablecoin outflows accelerate as traders de-risk,bearish
Exchange reserves climb while spot demand remains soft,bearish
The market rejects a breakout and rolls over intraday,bearish
Futures open interest stays high but price keeps drifting lower,bearish
Macro uncertainty keeps investors sidelined and selling into strength,bearish
Derivatives positioning turns defensive after a failed relief rally,bearish
On-chain realized losses increase as holders capitulate,bearish
Liquidity thins and the order book shows heavy overhead supply,bearish
Rate-hike fears return and crypto underperforms risk assets,bearish
Negative funding persists even as spot volume fades,bearish
Large holders trim exposure ahead of a volatile macro print,bearish
Withdrawal delays at a major venue trigger fresh risk aversion,bearish
Protocol usage softens while token unlock pressure approaches,bearish
Whale distribution outweighs fresh accumulation across exchanges,bearish
Sell-side pressure remains dominant after support fails,bearish
The asset breaks below a multi-week range on weak breadth,bearish
Bear market rally fades as spot sellers regain control,bearish
Risk desks cut leverage after another failed breakout,bearish
Perpetual basis turns flat while downside hedges get expensive,bearish
Open interest unwinds with price stuck under key resistance,bearish
Institutional flows rotate from Bitcoin into short duration bonds,bearish
Macro headwinds deepen as growth slows and inflation stays sticky,bearish
Exchange inflows from large wallets jump to monthly highs,bearish
Derivatives funding spikes before a sharp intraday reversal,bearish
Order book imbalance shows persistent ask-side pressure,bearish
ETF demand cools as allocators wait for lower entry levels,bearish
Stressed liquidity conditions trigger wider spreads across venues,bearish
Traders fade every rally as confidence in upside breaks down,bearish
On-chain transfer volume drops while exchange balances rise,bearish
Realized volatility rises as spot demand keeps weakening,bearish
Market breadth narrows with only defensive sectors holding up,bearish
Implied volatility term structure flips into defensive posture,bearish
Risk sentiment deteriorates after weak global manufacturing data,bearish
Futures market shows increasing short exposure from fast money,bearish
Price closes below major moving average with no follow-through bid,bearish
Cross-asset correlation rises during a broad risk-off move,bearish
Funding turns unstable as longs get trapped near resistance,bearish
Whipsaw action wipes out momentum traders on both sides,bearish
Spot market fails to absorb repeated sell programs,bearish
Options gamma positioning amplifies downside moves into expiry,bearish
Bid support disappears after a failed reclaim of prior range,bearish
Capitulation signals emerge from short-term holder behavior,bearish
Large redemptions hit crypto funds for a third straight week,bearish
Dealer inventories increase as clients reduce directional longs,bearish
Momentum indicators diverge negatively across major timeframes,bearish
Stablecoin velocity slows as market activity contracts,bearish
Network fee revenue declines with user demand trending down,bearish
Liquidity fragmentation increases execution costs for large orders,bearish
Macro surprise index turns higher and pressures risk valuations,bearish
The market prints lower highs with accelerating downside volume,bearish
Sentiment surveys show rising fear among active participants,bearish
Correlation with equities breaks as crypto underperforms again,bearish
Short sellers press advantage after support cluster fails,bearish
