text,label
Fed signals 25bps rate cut in December as inflation cools,bullish
US CPI comes in hotter than expected at 3.8 percent year over year,bearish
Bitcoin spot ETF sees record daily inflows of 500 million dollars,bullish
SEC delays decision on Ethereum spot ETF once again,bearish
Powell says Fed is in no rush to cut rates further,bearish
US jobs report smashes expectations with 300k new jobs added,neutral
Treasury yields surge after hawkish FOMC minutes,bearish
China announces stimulus package boosting risk assets globally,bullish
Bitcoin trades sideways as market awaits PCE inflation data,neutral
European Central Bank holds rates steady as expected,neutral
Ethereum staking yields drop below 3 percent after Shanghai upgrade,neutral
Major bank launches Bitcoin custody service for institutional clients,bullish
Stablecoin issuer faces probe from New York Attorney General,bearish
On-chain data shows Bitcoin whales accumulating aggressively,bullish
Crypto exchange reports record quarterly trading volume,bullish
Hackers exploit cross-chain bridge draining 100 million dollars,bearish
US government moves seized Bitcoin to exchange wallet raising sell-off fears,bearish
MicroStrategy announces another 500 million Bitcoin purchase,bullish
Fed minutes reveal divided views on pace of rate cuts,neutral
Bitcoin hashrate hits new all-time high signaling network strength,bullish
Dollar index DXY surges to 20-year high pressuring risk assets,bearish
Unemployment rate ticks up to 4.2 percent above forecasts,bearish
Coinbase beats earnings expectations with strong trading revenue,bullish
Tether market cap crosses 120 billion dollars milestone,neutral
Binance agrees to 4 billion dollar settlement with US authorities,bearish
Bitcoin halving successfully completes cutting block reward in half,bullish
Solana network experiences hours-long outage affecting DeFi protocols,bearish
BlackRock CEO calls Bitcoin a legitimate asset class,bullish
Japan central bank ends negative interest rate policy after 17 years,neutral
Russia proposes using crypto for international settlements bypassing sanctions,neutral
Grayscale files for new spot Solana ETF,bullish
South Korea delays crypto tax implementation by two years,bullish
Inflation data matches consensus keeping rate path intact,neutral
US Treasury Secretary warns about stablecoin systemic risks,bearish
Bitcoin mining difficulty reaches new record high,neutral
DeFi total value locked surpasses 100 billion dollars again,bullish
Federal Reserve balance sheet continues quantitative tightening,bearish
Michael Saylor predicts Bitcoin will hit 1 million dollars per coin,bullish
Retail sales fall short of expectations signaling economic slowdown,bearish
ECB President Lagarde signals possible rate cut in spring,bullish
Chinese developers lead commits on major DeFi protocols,neutral
Australia approves first spot Bitcoin ETF for launch,bullish
India imposes 30 percent tax on crypto gains with no loss offset,bearish
Uniswap processes record 2 trillion dollars in cumulative volume,bullish
Circle files for IPO with SEC targeting major exchange listing,bullish
Bank failures trigger flight to safety boosting Bitcoin as hedge,bullish
10-year Treasury yield tops 5 percent for first time since 2007,bearish
Crypto hedge fund Three Arrows Capital files for bankruptcy,bearish
Ripple wins partial victory against SEC in long-running lawsuit,bullish
MakerDAO votes to increase DAI savings rate to 8 percent,bullish
Core PCE inflation falls to 2.1 percent nearing Fed target,bullish
Bitcoin breaks above 100k for the first time in history,bullish
Ethereum gas fees spike to 200 gwei amid NFT mint frenzy,bearish
Fed Chair Powell testifies before Congress on monetary policy outlook,neutral
Crypto lender Celsius files for Chapter 11 bankruptcy protection,bearish
Fidelity launches spot Bitcoin ETF with lowest expense ratio,bullish
US GDP growth accelerates to 3.5 percent beating estimates,bullish
Hong Kong approves retail crypto trading starting June,bullish
Bitcoin dominance rises to 55 percent as altcoins bleed,neutral
Genesis Trading halts withdrawals citing liquidity issues,bearish
PayPal launches PYUSD stablecoin on Ethereum blockchain,bullish
FOMC holds rates steady at 5.5 percent as expected,neutral
Ark Invest sells 50 million dollars worth of Coinbase shares,bearish
Bitcoin Lightning Network capacity hits 5000 BTC milestone,bullish
Consumer confidence index drops to lowest level in 6 months,bearish
Vanguard blocks customers from buying spot Bitcoin ETFs,bearish
El Salvador adds 500 more Bitcoin to national treasury,bullish
Core inflation remains sticky at 3.9 percent above target,bearish
Ethereum completes Dencun upgrade reducing L2 fees by 90 percent,bullish
US banking regulators issue joint warning on crypto risks,bearish
Bitcoin futures open interest hits 40 billion dollars record,neutral
Germany sells 50000 seized Bitcoin crashing market,bearish
Spot Ethereum ETFs see 100 million first day inflows,bullish
ISM Manufacturing PMI contracts for 18th consecutive month,bearish
Toncoin surges 30 percent on Telegram integration news,bullish
Fed dot plot shows only one rate cut expected this year,bearish
Bitcoin ETF daily volume exceeds 10 billion dollars,bullish
Personal income rises 0.5 percent above consensus,bullish
FTX creditors to receive full repayment plus interest,bullish
Oil prices surge 10 percent on Middle East tensions,bearish
Coinbase secures regulatory approval in Singapore,bullish
Initial jobless claims spike to 250k above estimates,bearish
Bitcoin mining revenue drops 50 percent post halving,bearish
Swiss National Bank cuts rates by 25 basis points,bullish
Robinhood launches crypto trading in European Union,bullish
US trade deficit widens to 80 billion dollars,neutral
Kraken settles with SEC for 30 million dollars over staking,bearish
Bitcoin spot ETF assets under management top 50 billion,bullish
Producer prices rise 0.6 percent signaling inflation pressure,bearish
Cardano launches Hydra scaling solution on mainnet,bullish
Bank of England holds rates at 5.25 percent,neutral
Bitwise files for spot XRP ETF with SEC,bullish
Housing starts fall 10 percent below expectations,bearish
Polygon completes migration to POL token from MATIC,neutral
Fed Vice Chair signals openness to rate cuts if data supports,bullish
Crypto.com receives FCA approval for UK operations,bullish
Durable goods orders decline 2 percent missing estimates,bearish
Bitcoin network processes 1 million daily transactions,bullish
Eurozone inflation falls to 2.4 percent below forecast,bullish
Binance US delists multiple trading pairs amid regulatory pressure,bearish
Retail investor sentiment hits extreme greed on fear index,neutral
New York Fed manufacturing index turns negative,bearish
Chainlink launches cross-chain protocol CCIP on mainnet,bullish
Building permits drop to lowest level since 2020,bearish
VanEck launches first US spot Solana ETF,bullish
Fed Beige Book shows economic activity slowing,bearish
Bitcoin options expiry sees 5 billion dollars notional value,neutral
University of Michigan consumer sentiment beats estimates,bullish
Ledger faces backlash over controversial recovery service,bearish
Avalanche foundation launches 100 million ecosystem fund,bullish
Weekly jobless claims fall to 200k below expectations,bullish
Terraform Labs files for Chapter 11 bankruptcy,bearish
Bitcoin correlation with stocks drops to multi-year low,bullish
Import prices rise 0.4 percent above forecast,bearish
Optimism completes major network upgrade reducing fees,bullish
Atlanta Fed GDPNow tracker shows 4 percent growth,bullish
Gemini returns 1.1 billion to Earn customers,bullish
Existing home sales fall 5 percent year over year,bearish
Arbitrum DAO approves 200 million incentive program,bullish
Fed Governor Waller supports gradual rate cuts,bullish
Worldcoin faces regulatory scrutiny in multiple countries,bearish
Bitcoin funding rates turn negative signaling bearish sentiment,bearish
Chicago PMI unexpectedly rises above 50,bullish
Uniswap Labs receives SEC Wells notice,bearish
Stablecoin market cap recovers to 160 billion dollars,bullish
Pending home sales index drops to record low,bearish
Base network TVL surpasses 5 billion dollars,bullish
Fed minutes show officials concerned about cutting too soon,bearish
